,name,address,sido,gugon
0,개포1호,서울 강남구 개포동 1229-18,서울,강남구
1,논현1호(서울),서울 강남구 논현동 184-21,서울,강남구
2,대치1호,서울 강남구 대치동936,서울,강남구
3,대치2호,서울 강남구 대치동 990번지 삼성상가 113호 1/2,서울,강남구
4,삼성1호,서울 강남구 삼성동 44-18,서울,강남구
5,세곡,서울 강남구 자곡동 611,서울,강남구
6,압구정신사,서울 강남구 신사동 640-5 대성빌딩 1층 1호,서울,강남구
7,역삼1호,서울 강남구 역삼동 837-15,서울,강남구
8,일원본동,서울 강남구 수서동 747 삼성아파트 상가 104호,서울,강남구
9,청담역,서울 강남구 청담동 65 진흥아파트상가,서울,강남구
